Gene_Signature	Entrez_Gene_ID	Gene_Symbol	Signature_ID
3_CD8_EntrezID	81563	C1orf21	3
3_CD8_EntrezID	9560	CCL4L2	3
3_CD8_EntrezID	6352	CCL5	3
3_CD8_EntrezID	925	CD8A	3
3_CD8_EntrezID	8530	CST7	3
3_CD8_EntrezID	1844	DUSP2	3
3_CD8_EntrezID	8857	FCGBP	3
3_CD8_EntrezID	10578	GNLY	3
3_CD8_EntrezID	14943	GZMF	3
3_CD8_EntrezID	2999	GZMH	3
3_CD8_EntrezID	3560	IL2RB	3
3_CD8_EntrezID	3821	KLRC1	3
3_CD8_EntrezID	8302	KLRC4	3
3_CD8_EntrezID	10219	KLRG1	3
3_CD8_EntrezID	5551	PRF1	3
3_CD8_EntrezID	6285	S100B	3
3_CD8_EntrezID	30009	TBX21	3
3_CD8_EntrezID	10077	TSPAN32	3
4_Claudin_EntrezID	1365	CLDN3	4
4_Claudin_EntrezID	1364	CLDN4	4
4_Claudin_EntrezID	1366	CLDN7	4
5_EMT_DOWN_EntrezID	8714	ABCC3	5
5_EMT_DOWN_EntrezID	10551	AGR2	5
5_EMT_DOWN_EntrezID	8644	AKR1C3	5
5_EMT_DOWN_EntrezID	10840	ALDH1L1	5
5_EMT_DOWN_EntrezID	397	ARHGDIB	5
5_EMT_DOWN_EntrezID	10538	BATF	5
5_EMT_DOWN_EntrezID	118663	BTBD16	5
5_EMT_DOWN_EntrezID	387695	C10orf99	5
5_EMT_DOWN_EntrezID	64073	C19orf33	5
5_EMT_DOWN_EntrezID	999	CDH1	5
5_EMT_DOWN_EntrezID	9076	CLDN1	5
5_EMT_DOWN_EntrezID	1469	CST1	5
5_EMT_DOWN_EntrezID	79961	DENND2D	5
5_EMT_DOWN_EntrezID	10278	EFS	5
5_EMT_DOWN_EntrezID	26298	EHF	5
5_EMT_DOWN_EntrezID	1999	ELF3	5
5_EMT_DOWN_EntrezID	4072	EPCAM	5
5_EMT_DOWN_EntrezID	121506	ERP27	5
5_EMT_DOWN_EntrezID	2167	FABP4	5
5_EMT_DOWN_EntrezID	3248	HPGD	5
5_EMT_DOWN_EntrezID	9957	HS3ST1	5
5_EMT_DOWN_EntrezID	3294	HSD17B2	5
5_EMT_DOWN_EntrezID	3880	KRT19	5
5_EMT_DOWN_EntrezID	3898	LAD1	5
5_EMT_DOWN_EntrezID	56925	LXN	5
5_EMT_DOWN_EntrezID	4255	MGMT	5
5_EMT_DOWN_EntrezID	4292	MLH1	5
5_EMT_DOWN_EntrezID	348938	NIPAL4	5
