query,notfound,_id,_score,symbol
81792,,81792,25.52669,ADAMTS12
11093,,11093,25.52669,ADAMTS13
140766,,140766,26.31847,ADAMTS14
170689,,170689,26.31847,ADAMTS15
170690,,170690,26.31847,ADAMTS16
170691,,170691,26.31847,ADAMTS17
170692,,170692,26.31847,ADAMTS18
171019,,171019,26.31847,ADAMTS19
9510,,9510,26.31847,ADAMTS1
80070,,80070,26.31847,ADAMTS20
9509,,9509,26.31847,ADAMTS2
9508,,9508,26.31847,ADAMTS3
9507,,9507,25.52669,ADAMTS4
11096,,11096,25.52669,ADAMTS5
11174,,11174,26.31847,ADAMTS6
11173,,11173,25.525448,ADAMTS7
11095,,11095,26.317228,ADAMTS8
56999,,56999,25.52669,ADAMTS9
92949,,92949,26.31847,ADAMTSL1
9719,,9719,26.31847,ADAMTSL2
57188,,57188,26.31847,ADAMTSL3
54507,,54507,26.31847,ADAMTSL4
339366,,339366,26.31847,ADAMTSL5
11033,,11033,25.52669,ADAP1
55803,,55803,26.31847,ADAP2
103,,103,25.52669,ADAR
104,,104,26.31847,ADARB1
105,,105,26.31847,ADARB2
23536,,23536,26.31847,ADAT1
134637,,134637,26.31847,ADAT2
113179,,113179,26.31847,ADAT3
113451,,113451,26.31847,AZIN2
57143,,57143,26.31847,ADCK1
90956,,90956,26.317228,ADCK2
79934,,79934,26.317228,COQ8B
203054,,203054,26.317228,ADCK5
55811,,55811,26.31847,ADCY10
107,,107,26.31847,ADCY1
108,,108,26.31847,ADCY2
109,,109,26.31847,ADCY3
196883,,196883,26.31847,ADCY4
111,,111,26.31847,ADCY5
112,,112,26.31847,ADCY6
113,,113,26.31847,ADCY7
114,,114,26.31847,ADCY8
115,,115,26.31847,ADCY9
116,,116,25.52669,ADCYAP1
117,,117,26.31847,ADCYAP1R1
118,,118,25.52669,ADD1
119,,119,26.31847,ADD2
120,,120,26.31847,ADD3
124,,124,26.31847,ADH1A
125,,125,25.52669,ADH1B
126,,126,25.52669,ADH1C
127,,127,26.317228,ADH4
128,,128,26.31847,ADH5
130,,130,26.31847,ADH6
131,,131,26.31847,ADH7
137872,,137872,25.52669,ADHFE1
55256,,55256,26.31847,ADI1
149685,,149685,25.52669,ADIG
9370,,9370,25.52669,ADIPOQ
51094,,51094,26.31847,ADIPOR1
